statistic_yyy,ranking,lastname,age,population
112,220,樂,0~14歲,136
112,220,樂,15~64歲,1146
112,220,樂,65歲以上,264
112,221,司,0~14歲,240
112,221,司,15~64歲,1130
112,221,司,65歲以上,167
112,222,臧,0~14歲,117
112,222,臧,15~64歲,1140
112,222,臧,65歲以上,259
112,223,幸,0~14歲,311
112,223,幸,15~64歲,1032
112,223,幸,65歲以上,137
112,224,宗,0~14歲,232
112,224,宗,15~64歲,1044
112,224,宗,65歲以上,196
112,225,費,0~14歲,186
112,225,費,15~64歲,1038
112,225,費,65歲以上,244
112,226,屈,0~14歲,138
112,226,屈,15~64歲,1101
112,226,屈,65歲以上,209
112,227,樓,0~14歲,128
112,227,樓,15~64歲,1052
112,227,樓,65歲以上,227
112,228,衛,0~14歲,169
112,228,衛,15~64歲,971
112,228,衛,65歲以上,228
112,229,諶,0~14歲,143
112,229,諶,15~64歲,1008
112,229,諶,65歲以上,204
112,230,尚,0~14歲,130
112,230,尚,15~64歲,991
112,230,尚,65歲以上,215
112,231,靳,0~14歲,145
112,231,靳,15~64歲,977
112,231,靳,65歲以上,203
112,232,桂,0~14歲,121
112,232,桂,15~64歲,924
112,232,桂,65歲以上,269
112,233,祁,0~14歲,156
112,233,祁,15~64歲,945
112,233,祁,65歲以上,204
112,234,沙,0~14歲,146
112,234,沙,15~64歲,928
112,234,沙,65歲以上,225
112,235,欒,0~14歲,120
112,235,欒,15~64歲,933
112,235,欒,65歲以上,177
112,236,宮,0~14歲,102
112,236,宮,15~64歲,899
112,236,宮,65歲以上,198
112,237,路,0~14歲,126
112,237,路,15~64歲,860
112,237,路,65歲以上,205
112,238,龐,0~14歲,135
112,238,龐,15~64歲,904
112,238,龐,65歲以上,132
112,239,刁,0~14歲,114
112,239,刁,15~64歲,851
112,239,刁,65歲以上,186
112,240,瞿,0~14歲,112
112,240,瞿,15~64歲,808
112,240,瞿,65歲以上,186
112,241,時,0~14歲,103
112,241,時,15~64歲,854
112,241,時,65歲以上,131
112,242,鄺,0~14歲,106
112,242,鄺,15~64歲,786
112,242,鄺,65歲以上,193
112,243,柴,0~14歲,115
112,243,柴,15~64歲,794
112,243,柴,65歲以上,168
112,244,松,0~14歲,230
112,244,松,15~64歲,761
112,244,松,65歲以上,83
112,245,柏,0~14歲,118
112,245,柏,15~64歲,780
112,245,柏,65歲以上,138
112,246,談,0~14歲,115
112,246,談,15~64歲,753
112,246,談,65歲以上,166
112,247,查,0~14歲,110
112,247,查,15~64歲,744
112,247,查,65歲以上,175
112,248,霍,0~14歲,122
112,248,霍,15~64歲,721
112,248,霍,65歲以上,185
112,249,釋,0~14歲,4
112,249,釋,15~64歲,599
112,249,釋,65歲以上,412
112,250,閔,0~14歲,111
112,250,閔,15~64歲,727
112,250,閔,65歲以上,168
112,251,隋,0~14歲,81
112,251,隋,15~64歲,760
112,251,隋,65歲以上,148
112,252,風,0~14歲,167
112,252,風,15~64歲,740
112,252,風,65歲以上,80
112,253,竇,0~14歲,98
112,253,竇,15~64歲,723
112,253,竇,65歲以上,163
112,254,鄂,0~14歲,116
112,254,鄂,15~64歲,667
112,254,鄂,65歲以上,177
112,255,髙,0~14歲,68
112,255,髙,15~64歲,596
112,255,髙,65歲以上,286
112,256,甯,0~14歲,110
112,256,甯,15~64歲,707
112,256,甯,65歲以上,132
112,257,儲,0~14歲,128
112,257,儲,15~64歲,670
112,257,儲,65歲以上,147
112,258,仲,0~14歲,103
112,258,仲,15~64歲,697
112,258,仲,65歲以上,130
112,259,吉,0~14歲,92
112,259,吉,15~64歲,702
112,259,吉,65歲以上,135
112,260,湛,0~14歲,115
112,260,湛,15~64歲,648
112,260,湛,65歲以上,162
112,261,遲,0~14歲,95
112,261,遲,15~64歲,712
112,261,遲,65歲以上,94
112,262,東,0~14歲,123
112,262,東,15~64歲,627
112,262,東,65歲以上,148
112,263,冉,0~14歲,80
112,263,冉,15~64歲,714
112,263,冉,65歲以上,103
112,264,匡,0~14歲,94
112,264,匡,15~64歲,650
112,264,匡,65歲以上,121
112,265,昌,0~14歲,103
112,265,昌,15~64歲,601
112,265,昌,65歲以上,145
112,266,榮,0~14歲,96
112,266,榮,15~64歲,614
112,266,榮,65歲以上,130
112,267,仇,0~14歲,73
112,267,仇,15~64歲,654
112,267,仇,65歲以上,112
112,268,蘭,0~14歲,87
112,268,蘭,15~64歲,633
112,268,蘭,65歲以上,110
112,269,婁,0~14歲,62
112,269,婁,15~64歲,609
112,269,婁,65歲以上,131
112,270,卞,0~14歲,83
112,270,卞,15~64歲,599
112,270,卞,65歲以上,116
112,271,冷,0~14歲,64
112,271,冷,15~64歲,608
112,271,冷,65歲以上,114
112,272,晏,0~14歲,77
112,272,晏,15~64歲,584
112,272,晏,65歲以上,106
112,273,伊,0~14歲,121
112,273,伊,15~64歲,534
112,273,伊,65歲以上,111
112,274,岑,0~14歲,77
112,274,岑,15~64歲,560
112,274,岑,65歲以上,128
112,275,桑,0~14歲,72
112,275,桑,15~64歲,591
112,275,桑,65歲以上,101
112,276,姬,0~14歲,78
112,276,姬,15~64歲,549
112,276,姬,65歲以上,128
112,277,裘,0~14歲,59
